epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,train_gradient_norm,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
29,training,150584,0,0.00026868736564536445,0.5533636386295122,0.23182154239676378,0.0644586670607469,0.2569709398759409,0.02133375065339152,0.09115566179133687,1.1605269513852685,14.960666586460219,9.42464711657119,0.46445026718309435,5.071240593916637,0.22787057411665823,0.10047621752470272,85.63981790896624,291.3998179568175,0.3190549769180878,72.10570880158855,0.44993037274426767,110.7534209679977,1.0,0.6809221867098566,0.22370367433335012,14.960666586460219,85.63981790896624,291.3998179568175
30,training,150584,0,0.0002661296226610736,0.5509658642849475,0.22969856559393673,0.06419300601340386,0.2569631001949038,0.02133376068631638,0.08985870073644006,1.2581673714138046,14.953573953326636,9.414037092698102,0.4655084330816693,5.073701666491749,0.22766014407879737,0.09892242133474137,85.62528420200488,291.2301427165225,0.31737629239632215,72.33086327588488,0.4472168173667544,109.66727916520617,1.0,0.6777799016239305,0.2258519391887378,14.953573953326636,85.62528420200488,291.2301427165225
31,training,150584,0,0.00026348483155186906,0.5469572147858774,0.22606441382654768,0.06384630597696296,0.2569370115148454,0.021323120924566428,0.08815929136177236,1.2616137689781708,14.919570473058895,9.38004648184543,0.46291951956162397,5.076280387313528,0.22701474835166016,0.0970356486139942,85.20613574170315,290.7278891292384,0.3166084849872191,73.1151182240102,0.4464442409675327,109.45921065985536,1.0,0.6754232526466778,0.22748169342154625,14.919570473058895,85.20613574170315,290.7278891292384
32,training,150584,0,0.00026075500073496005,0.5457309338838422,0.2250875348945908,0.0635840243754166,0.25695111287865274,0.021385277697461035,0.08687842488332655,1.4030464855741287,14.907735036443665,9.35963222687439,0.4618180818771339,5.085960867199558,0.2280176487727108,0.09548335504334701,85.06000705698764,290.4136224352316,0.31615066193582847,74.39448222813478,0.44466540765327534,109.26808784807666,1.0,0.6719308362467951,0.22959381765899928,14.907735036443665,85.06000705698764,290.4136224352316
33,training,150584,0,0.000257942203205515,0.5413495848285207,0.22105639303908392,0.06325298885454632,0.2569325714376856,0.02138023130685544,0.0862521775795337,1.4396879034437848,14.905397970459207,9.349907834138698,0.46178258081824114,5.093385577617139,0.2276290172429177,0.09411136332898906,84.95402117893609,290.2656651806868,0.31622219678760827,74.98985865868278,0.44379268246156195,108.79992365144882,1.0,0.6686760849028713,0.23127070842161812,14.905397970459207,84.95402117893609,290.2656651806868
34,training,150584,0,0.00025504857496245825,0.5398343072999361,0.21967613653593424,0.06308053132341941,0.2569719520165159,0.02140357999005748,0.08428402161775445,1.5625021914510062,14.940194622579273,9.362391762703204,0.4614681092723974,5.116014715276008,0.22788412791524496,0.09254841381466278,85.016959926027,290.4620100397359,0.31483442066308037,75.6208981841474,0.44189462439433824,108.38503797904505,1.0,0.6655223241433962,0.23304166580614635,14.940194622579273,85.016959926027,290.4620100397359
35,training,150584,0,0.00025207631338642256,0.538019838839049,0.21810413363058762,0.06286466029381862,0.2569471882693638,0.021387873424633483,0.08246959533953452,1.6391908774253658,14.983776801686082,9.382902902584572,0.46009065089556506,5.140464250191908,0.22824560094458896,0.09090523651924806,85.10055473880391,290.78720839291833,0.31426691083896074,76.41293113160982,0.4405020792796917,108.52807720577715,1.0,0.663092728595487,0.2343014134561594,14.983776801686082,85.10055473880391,290.78720839291833
36,training,150584,0,0.00024902767557108857,0.5373855012412162,0.21766263942749012,0.06267554597285602,0.25694500822799765,0.02138107523406372,0.0809276318651959,1.7726203929414333,14.977757955412372,9.368051018139086,0.45788451388548207,5.151505525258554,0.22801768187031832,0.08902000994704552,84.8698059410365,290.57389594005997,0.3152827057342337,77.05131663434186,0.4396293540879783,108.30901923333715,1.0,0.6627442552507513,0.23496437387951455,14.977757955412372,84.8698059410365,290.57389594005997
37,training,150584,0,0.00024590497660918027,0.5322731334033378,0.21294587232836285,0.062282382312841014,0.25694357816715957,0.02134093821197449,0.07995996803233504,1.7955595805214517,15.0950836279449,9.38690815691092,0.4604513554463837,5.247409217280051,0.22779034498948517,0.08761544915847161,85.13938470862067,290.85002518370186,0.3119730265918889,76.07711534331662,0.4355089466254626,106.90932296212111,1.0,0.6607513797400968,0.23579246549835098,15.0950836279449,85.13938470862067,290.85002518370186
38,training,150584,0,0.00024271058783441568,0.5302727839150747,0.21116527605464938,0.06209359466900679,0.2569143610127129,0.021399705655924015,0.07815099465814039,1.8442364618817646,15.250240837704252,9.398143940786754,0.46300635562566456,5.388776605644157,0.22764564353042738,0.0861612941050292,85.42673376263187,290.99909749231506,0.30842966693373014,75.31468118891222,0.4307304185265728,105.75270181919089,1.0,0.6578106041343177,0.23724565890917382,15.250240837704252,85.42673376263187,290.99909749231506
